' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:08:188, ' Request_Type ' POST, ' Request_URL ' /User/getAuthTokens, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 353, ' Response_Time ' 125.181 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:08:282, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 110, ' Response_Time ' 4.447 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:08:300, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 362, ' Response_Time ' 13.734 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:08:325, ' Request_Type ' GET, ' Request_URL ' /User/wddUpq.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 3.542 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:08:342, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 497, ' Response_Time ' 24.733 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:11:412, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 3.456 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:14:622, ' Request_Type ' GET, ' Request_URL ' /undefined, ' HTTP_Version ' 1.1, ' Response_Code ' 404, ' Content_Length ' 148, ' Response_Time ' 2.646 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:14:632, ' Request_Type ' POST, ' Request_URL ' /Employee/getViewEmployeeDetailsById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 380, ' Response_Time ' 3.114 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:14:634, ' Request_Type ' POST, ' Request_URL ' /Document/getDocumentById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 42, ' Response_Time ' 3.699 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:14:750, ' Request_Type ' GET, ' Request_URL ' /Employee/yjYXXK.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.803 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:28:778, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.481 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 18:34:37:62, ' Request_Type ' POST, ' Request_URL ' /Employee/getViewEmployeeDetailsById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 385, ' Response_Time ' 1.357 ms,
