' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:53:39:788, ' Request_Type ' POST, ' Request_URL ' /Employee/registerEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 495, ' Response_Time ' 190.491 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:23:657, ' Request_Type ' POST, ' Request_URL ' /User/getAuthTokens, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 368, ' Response_Time ' 63.384 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:23:744, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 110, ' Response_Time ' 4.446 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:23:752, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 370, ' Response_Time ' 2.444 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:23:814, ' Request_Type ' GET, ' Request_URL ' /User/sKHhyg.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 4992, ' Response_Time ' 14.770 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:23:821, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 5.200 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:33:343, ' Request_Type ' GET, ' Request_URL ' /User/sKHhyg.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.106 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:54:33:456, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 110, ' Response_Time ' 1.325 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:55:18:418, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRole, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 456, ' Response_Time ' 1.405 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:55:18:423, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 2.540 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 13-02-2020 11:55:29:696, ' Request_Type ' POST, ' Request_URL ' /UserRole/countUserRole, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 2.209 ms,
