' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:21:136, ' Request_Type ' GET, ' Request_URL ' /User/wddUpq.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 4992, ' Response_Time ' 5.811 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:276, ' Request_Type ' POST, ' Request_URL ' /Employee/searchEmployeeData, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 9.847 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:305, ' Request_Type ' GET, ' Request_URL ' /Employee/YiIcR4.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 25856, ' Response_Time ' 2.817 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:308, ' Request_Type ' GET, ' Request_URL ' /Employee/1bTUdr.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 800247, ' Response_Time ' 4.769 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:308, ' Request_Type ' GET, ' Request_URL ' /Employee/QslTNM.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 800247, ' Response_Time ' 3.303 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:433, ' Request_Type ' POST, ' Request_URL ' /Employee/searchEmployeeData, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 737, ' Response_Time ' 2.590 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:24:652, ' Request_Type ' POST, ' Request_URL ' /Employee/searchEmployeeData, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 737, ' Response_Time ' 1.388 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:146, ' Request_Type ' POST, ' Request_URL ' /Document/getDocumentById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 391, ' Response_Time ' 4.555 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:175, ' Request_Type ' GET, ' Request_URL ' /Document/YkkNGx.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 404, ' Content_Length ' 159, ' Response_Time ' 2.911 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:180, ' Request_Type ' GET, ' Request_URL ' /Document/9jR1QU.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 7662, ' Response_Time ' 6.326 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:181, ' Request_Type ' GET, ' Request_URL ' /Document/PMmTf6.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 404, ' Content_Length ' 159, ' Response_Time ' 1.693 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:181, ' Request_Type ' GET, ' Request_URL ' /Document/6wbjgF.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 9674, ' Response_Time ' 6.488 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:182, ' Request_Type ' GET, ' Request_URL ' /Document/cPksxD.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 9614, ' Response_Time ' 5.544 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:183, ' Request_Type ' GET, ' Request_URL ' /Document/GnfBWf.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 12835, ' Response_Time ' 5.306 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 21-02-2020 11:02:26:183, ' Request_Type ' GET, ' Request_URL ' /Document/GLq44E.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 9824, ' Response_Time ' 5.166 ms,
