' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:18:32:894, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.574 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:18:40:718, ' Request_Type ' POST, ' Request_URL ' /Employee/getViewEmployeeDetailsById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 376, ' Response_Time ' 1.431 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:18:40:737, ' Request_Type ' GET, ' Request_URL ' /Employee/ftJewE.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.469 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:18:44:208, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.926 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:18:47:544, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 110, ' Response_Time ' 5.641 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:19:55:383, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.548 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:01:787, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 393, ' Response_Time ' 1.251 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:01:819, ' Request_Type ' GET, ' Request_URL ' /Employee/1bTUdr.jpg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.433 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:06:497, ' Request_Type ' POST, ' Request_URL ' /Employee/updateEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 411, ' Response_Time ' 36.141 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:06:537, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.587 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:13:482, ' Request_Type ' POST, ' Request_URL ' /Employee/getViewEmployeeDetailsById, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 383, ' Response_Time ' 1.278 ms,
' Request_From_IP ' ::ffff:192.168.1.104, ' Request_User ' -, ' Request_Date_Time ' 22-02-2020 10:20:21:595, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.553 ms,
